fmisid,station,time_utc,Maximum temperature [°C],Minimum temperature [°C],Average relative humidity [%],Wind speed [m/s],Average air pressure [hPa]
106435,Muonio Oustajärvi,2025-01-01 00:00:00+00:00,-22.6,-23.9,79.0,3.4,995.5
106435,Muonio Oustajärvi,2025-01-01 01:00:00+00:00,-22.4,-24.2,79.0,3.1,995.1
106435,Muonio Oustajärvi,2025-01-01 02:00:00+00:00,-24.3,-25.3,77.0,2.3,994.5
106435,Muonio Oustajärvi,2025-01-01 03:00:00+00:00,-24.4,-26.0,77.0,0.8,993.8
106435,Muonio Oustajärvi,2025-01-01 04:00:00+00:00,-25.5,-26.6,78.0,0.8,993.2
106435,Muonio Oustajärvi,2025-01-01 05:00:00+00:00,-26.3,-27.0,77.0,1.3,992.7
106435,Muonio Oustajärvi,2025-01-01 06:00:00+00:00,-26.8,-28.1,75.0,0.8,992.4
106435,Muonio Oustajärvi,2025-01-01 07:00:00+00:00,-27.6,-28.2,76.0,1.9,992.1
106435,Muonio Oustajärvi,2025-01-01 08:00:00+00:00,-28.3,-29.3,74.0,1.1,991.7
106435,Muonio Oustajärvi,2025-01-01 09:00:00+00:00,-28.9,-29.8,74.0,1.2,991.5
106435,Muonio Oustajärvi,2025-01-01 10:00:00+00:00,-27.7,-29.8,75.0,0.7,991.6
106435,Muonio Oustajärvi,2025-01-01 11:00:00+00:00,-26.1,-27.6,83.0,0.9,990.9
106435,Muonio Oustajärvi,2025-01-01 12:00:00+00:00,-24.8,-26.1,81.0,1.0,990.4
106435,Muonio Oustajärvi,2025-01-01 13:00:00+00:00,-22.6,-24.9,80.0,0.9,989.7
106435,Muonio Oustajärvi,2025-01-01 14:00:00+00:00,-22.4,-22.8,79.0,0.7,989.0
106435,Muonio Oustajärvi,2025-01-01 15:00:00+00:00,-21.5,-22.3,80.0,0.7,988.7
106435,Muonio Oustajärvi,2025-01-01 16:00:00+00:00,-20.2,-21.5,80.0,0.5,988.2
106435,Muonio Oustajärvi,2025-01-01 17:00:00+00:00,-19.5,-20.2,81.0,0.8,987.6
106435,Muonio Oustajärvi,2025-01-01 18:00:00+00:00,-19.3,-20.1,81.0,1.0,987.5
106435,Muonio Oustajärvi,2025-01-01 19:00:00+00:00,-19.9,-20.6,80.0,0.9,987.4
106435,Muonio Oustajärvi,2025-01-01 20:00:00+00:00,-20.7,-23.2,79.0,0.7,987.4
106435,Muonio Oustajärvi,2025-01-01 21:00:00+00:00,-22.9,-25.1,78.0,0.7,987.6
106435,Muonio Oustajärvi,2025-01-01 22:00:00+00:00,-25.0,-26.9,77.0,0.6,987.6
