method,fmisid,station,coef_Wind speed [m/s],coef_Maximum temperature [°C],coef_Minimum temperature [°C],coef_Average relative humidity [%],coef_Average air pressure [hPa],intercept
Local only,100946,Hanko Tulliniemi,2.5957398101145372,1.848820840148445,-1.941669866576924,0.017174331553205153,-0.11358498841287226,7.007339630066903
Local only,100967,Salo Kiikala airfield,1.1774234914411894,1.4933976860409872,-1.4572221108280539,0.20787419085201886,0.005275770493821332,2.972378516624041
Local only,101004,Helsinki Kumpula,1.314960512283106,1.9356807931152542,-1.9536141589938278,0.09615548034148241,-0.05346468661365883,4.113721250245724
Local only,101022,Porvoo Kalbådagrund,2.4096014113308386,1.228847423567293,-1.3397599239139004,-0.0006506242636440052,-0.15313312049981925,7.534016227180528
Local only,101042,Kotka Haapasaari,2.377242719784688,0.27326706768124503,-0.42594141375502115,0.023534798077831688,-0.1409746323229742,6.528391356542617
Local only,101065,Turku airport,1.3561216540812457,1.3884783786058545,-1.3840333323403693,0.1833144106269351,-0.04664081222023132,3.3356608969315507
Local only,101118,Pirkkala Tampere-Pirkkala airport,1.460044174086015,1.6569198597285097,-1.6619570384309874,0.23180981872149606,-0.046172567518736794,3.3711250983477585
Local only,101150,Hämeenlinna Katinen,1.4198496441580133,2.299732381249749,-2.302795754653216,0.151257134484486,-0.0664336068964132,3.652832090304375
Local only,101191,Kouvola Utti airport,1.2480198166088803,2.1033944941964013,-2.042755982257383,0.25420347709653535,-0.041712478075589414,3.6961624821392123
Local only,101237,Lappeenranta airport,1.2863763659286087,2.399165361083186,-2.3660151722196368,0.2554328493122954,-0.02823561074250426,3.3190869736324276
Local only,101267,Pori Tahkoluoto harbour,2.5774409160404037,2.2012002721969575,-2.3279407830097028,0.05057502804294434,-0.12552726446996387,6.4845320197044325
Local only,151029,Mariehamn West Harbour,2.080329941811958,1.6116698502518816,-1.6366508944195497,0.19298618306817308,-0.06911871242165656,4.607862407862408
Local only,855522,Mikkeli airport AWOS,1.2820316348686844,2.252011304144065,-2.244114476544322,0.2284227549776073,-0.0200852976861504,2.698780487804878
Local only,874863,Espoo Tapiola,1.3599242310286381,2.060324184516267,-2.088444600530903,0.13205123130236207,-0.07699298328880622,3.875118296529968
System A Geographic alpha=0.0001,100946,Hanko Tulliniemi,2.5780470300795537,0.09316744674606797,-0.19201963088914203,-0.019631611896437567,-0.1139664409841926,7.0073396300668795
System A Geographic alpha=0.0001,100967,Salo Kiikala airfield,1.1509588500191335,0.16570066155618435,-0.14757967110319994,0.15957076326831207,0.0029417643625915635,2.9723785166240297
System A Geographic alpha=0.0001,101004,Helsinki Kumpula,1.2999008320680452,0.11916592317420935,-0.15970287896207036,0.04053563985522658,-0.0636053489123486,4.113721250245702
System A Geographic alpha=0.0001,101022,Porvoo Kalbådagrund,2.40521859633778,0.12515472937047065,-0.23768889430459234,-0.023030938079865587,-0.15696366010892698,7.534016227180507
System A Geographic alpha=0.0001,101042,Kotka Haapasaari,2.3735787689483816,-0.06457492184193887,-0.09036797771429356,0.017835538260406177,-0.14235237965296657,6.528391356542595
System A Geographic alpha=0.0001,101065,Turku airport,1.3237467106633887,0.16482083155654725,-0.17413498416304501,0.13767116059292558,-0.049157722211654035,3.3356608969315404
System A Geographic alpha=0.0001,101118,Pirkkala Tampere-Pirkkala airport,1.424445017099711,0.15828165356387758,-0.1814227879061355,0.18756319484357328,-0.05249925723525654,3.371125098347747
System A Geographic alpha=0.0001,101150,Hämeenlinna Katinen,1.3931790454868433,0.16291045863261927,-0.1911920102691727,0.09378678695191353,-0.07054811287735265,3.652832090304364
System A Geographic alpha=0.0001,101191,Kouvola Utti airport,1.2250620552832217,0.188476604863352,-0.15761133195624144,0.18424664463541632,-0.043492370339620244,3.6961624821392016
System A Geographic alpha=0.0001,101237,Lappeenranta airport,1.252639136592999,0.18302761852414873,-0.17705097793708335,0.19098985185293396,-0.03286343271777419,3.319086973632417
