fmisid,station,train,validation,test,total
101004,Helsinki Kumpula,5087,1460,2200,8747
101042,Kotka Haapasaari,4998,1407,2042,8447
101237,Lappeenranta airport,5082,1461,2200,8743
101150,Hämeenlinna Katinen,4961,1426,2108,8495
101118,Pirkkala Tampere-Pirkkala airport,5084,1463,2205,8752
100946,Hanko Tulliniemi,5082,1464,2203,8749
101065,Turku airport,5084,1461,2203,8748
100967,Salo Kiikala airfield,5083,1464,2171,8718
101191,Kouvola Utti airport,4899,1464,2201,8564
855522,Mikkeli airport AWOS,5084,1462,1377,7923
101267,Pori Tahkoluoto harbour,5075,1462,2201,8738
151029,Mariehamn West Harbour,4884,1397,2129,8410
